sample_id,description,category,l5x_path,predicted_bytes,actual_bytes,delta,delta_pct,controller_model,firmware_rev,date_tested,notes,error_count,warning_count,message_value,window_title
paramcount_n02_def_only,"AOI with 2 DINT Input params, 0 instances",aoi,samples/generated/aoi/paramcount_n02_def_only.L5X,0,19360,19360,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamCountN02 in paramcount_n02_def_only.ACD [1756-L81E 35.11]*
paramcount_n04_def_only,"AOI with 4 DINT Input params, 0 instances",aoi,samples/generated/aoi/paramcount_n04_def_only.L5X,0,19360,19360,,5069-L306ER,35.11,2026-08-22,"WINDOW TITLE MISMATCH: expected 'paramcount_n04_def_only', got ""Logix Designer - ParamCountN02 in paramcount_n02_def_only.ACD [1756-L81E 35.11]*""",0,0,0,Logix Designer - ParamCountN02 in paramcount_n02_def_only.ACD [1756-L81E 35.11]*
paramcount_n08_def_only,"AOI with 8 DINT Input params, 0 instances",aoi,samples/generated/aoi/paramcount_n08_def_only.L5X,0,19392,19392,,5069-L306ER,35.11,2026-08-22,"WINDOW TITLE MISMATCH: expected 'paramcount_n08_def_only', got ""Logix Designer - ParamCountN04 in paramcount_n04_def_only.ACD [1756-L81E 35.11]*""",0,0,0,Logix Designer - ParamCountN04 in paramcount_n04_def_only.ACD [1756-L81E 35.11]*
paramcount_n16_def_only,"AOI with 16 DINT Input params, 0 instances",aoi,samples/generated/aoi/paramcount_n16_def_only.L5X,0,19632,19632,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamCountN16 in paramcount_n16_def_only.ACD [1756-L81E 35.11]*
paramcount_n32_def_only,"AOI with 32 DINT Input params, 0 instances",aoi,samples/generated/aoi/paramcount_n32_def_only.L5X,0,19952,19952,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamCountN32 in paramcount_n32_def_only.ACD [1756-L81E 35.11]*
paramtype_bool_n4_def_only,"AOI with 4 BOOL Input params, 0 instances",aoi,samples/generated/aoi/paramtype_bool_n4_def_only.L5X,0,19376,19376,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamTypeBOOL in paramtype_bool_n4_def_only.ACD [1756-L81E 35.11]*
paramtype_bool_n8_def_only,"AOI with 8 BOOL Input params, 0 instances",aoi,samples/generated/aoi/paramtype_bool_n8_def_only.L5X,0,19440,19440,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamType8BOOL in paramtype_bool_n8_def_only.ACD [1756-L81E 35.11]*
paramtype_dint_n4_def_only,"AOI with 4 DINT Input params, 0 instances",aoi,samples/generated/aoi/paramtype_dint_n4_def_only.L5X,0,19392,19392,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamTypeDINT in paramtype_dint_n4_def_only.ACD [1756-L81E 35.11]*
paramtype_dint_n8_def_only,"AOI with 8 DINT Input params, 0 instances",aoi,samples/generated/aoi/paramtype_dint_n8_def_only.L5X,0,19472,19472,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamType8DINT in paramtype_dint_n8_def_only.ACD [1756-L81E 35.11]*
paramtype_int_n4_def_only,"AOI with 4 INT Input params, 0 instances",aoi,samples/generated/aoi/paramtype_int_n4_def_only.L5X,0,19384,19384,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamTypeINT in paramtype_int_n4_def_only.ACD [1756-L81E 35.11]*
paramtype_int_n8_def_only,"AOI with 8 INT Input params, 0 instances",aoi,samples/generated/aoi/paramtype_int_n8_def_only.L5X,0,19456,19456,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamType8INT in paramtype_int_n8_def_only.ACD [1756-L81E 35.11]*
paramtype_lint_n4_def_only,"AOI with 4 LINT Input params, 0 instances",aoi,samples/generated/aoi/paramtype_lint_n4_def_only.L5X,0,19408,19408,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamTypeLINT in paramtype_lint_n4_def_only.ACD [1756-L81E 35.11]*
paramtype_lint_n8_def_only,"AOI with 8 LINT Input params, 0 instances",aoi,samples/generated/aoi/paramtype_lint_n8_def_only.L5X,0,19504,19504,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamType8LINT in paramtype_lint_n8_def_only.ACD [1756-L81E 35.11]*
paramtype_real_n4_def_only,"AOI with 4 REAL Input params, 0 instances",aoi,samples/generated/aoi/paramtype_real_n4_def_only.L5X,0,19392,19392,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamTypeREAL in paramtype_real_n4_def_only.ACD [1756-L81E 35.11]*
paramtype_real_n8_def_only,"AOI with 8 REAL Input params, 0 instances",aoi,samples/generated/aoi/paramtype_real_n8_def_only.L5X,0,19472,19472,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamType8REAL in paramtype_real_n8_def_only.ACD [1756-L81E 35.11]*
paramtype_sint_n4_def_only,"AOI with 4 SINT Input params, 0 instances",aoi,samples/generated/aoi/paramtype_sint_n4_def_only.L5X,0,19376,19376,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamTypeSINT in paramtype_sint_n4_def_only.ACD [1756-L81E 35.11]*
paramtype_sint_n8_def_only,"AOI with 8 SINT Input params, 0 instances",aoi,samples/generated/aoi/paramtype_sint_n8_def_only.L5X,0,19448,19448,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ParamType8SINT in paramtype_sint_n8_def_only.ACD [1756-L81E 35.11]*
axis_aoi_inout_1_instance,"Real AXIS_CIP_DRIVE tag + AOI with BOOL Input + InOut AXIS_CIP_DRIVE param, called from a rung, 1 instance (unmodeled predefined structure)",axis,samples/generated/axis/axis_aoi_inout_1_instance.L5X,0,43680,43680,,5069-L306ER,35.11,2026-08-22,,2,0,0,Logix Designer - AxisAoiInout in axis_aoi_inout_1_instance.ACD [1756-L81E 35.11]
